,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,Grand-Santi,83,GF,1573863404,94,4.27,-54.38,73.89,2.77
272,Vryburg,0,ZA,1573863404,22,-26.96,24.73,67.05,5.95
273,Mahibadhoo,100,MV,1573863144,82,3.78,72.97,79.97,8.5
274,Kaeo,2,NZ,1573863404,56,-35.1,173.78,75.0,7.0
275,Labuhan,100,ID,1573863404,63,-2.54,115.51,81.39,0.92
276,Mahon,20,IE,1573863404,93,51.89,-8.4,37.0,11.41
277,Te Anau,100,NZ,1573863110,82,-45.41,167.72,49.51,8.5
278,Svetlogorsk,75,RU,1573863405,58,53.14,59.15,30.2,6.71
279,Severo-Kurilsk,68,RU,1573863405,72,50.68,156.12,24.98,9.06
280,Mandalgovi,86,MN,1573863131,32,45.76,106.27,28.26,16.6
281,Ibanesti,33,RO,1573863405,93,46.77,24.93,43.0,4.7
282,Sonoita,1,US,1573863405,24,31.68,-110.66,82.4,6.93
283,Maceio,20,BR,1573863111,83,-9.67,-35.74,75.2,5.82
284,Kihei,40,US,1573863405,58,20.76,-156.45,87.8,11.41
285,Belmonte,8,PT,1573863406,93,40.36,-7.35,42.01,4.34
286,Regeneracao,0,BR,1573863406,47,-6.24,-42.69,80.6,1.9
287,Florianopolis,38,BR,1573863340,60,-27.6,-48.55,72.0,9.17
288,Cardenas,20,MX,1573863406,37,27.62,-110.24,84.2,9.17
289,Montepuez,86,MZ,1573863406,60,-13.13,39.0,76.51,7.16
290,Saryg-Sep,94,RU,1573863406,88,51.49,95.55,-9.9,2.64
291,Lebu,75,ET,1573863406,71,8.96,38.73,55.4,3.36
292,Ossora,100,RU,1573863406,81,59.24,163.07,33.37,29.35
293,Yakeshi,0,CN,1573863407,87,49.28,120.73,-3.8,7.27
294,Qaqortoq,40,GL,1573863407,58,60.72,-46.03,24.8,10.29
295,Sibolga,99,ID,1573863407,94,1.74,98.78,71.53,1.79
296,Preobrazheniye,0,RU,1573863407,33,42.9,133.91,23.27,17.74
297,Camacha,75,PT,1573863407,72,33.08,-16.33,62.6,16.11
298,Pangnirtung,90,CA,1573863407,67,66.15,-65.72,21.2,6.93
299,Rosetta,40,EG,1573863407,64,31.4,30.42,71.6,8.05
300,Talnakh,23,RU,1573863408,76,69.49,88.39,-11.2,4.47
301,Kyshtovka,69,RU,1573863408,93,56.56,76.62,-1.26,9.91
302,Mulege,88,MX,1573863408,48,26.88,-111.98,77.02,3.91
303,Karasburg,0,NA,1573863408,47,-28.01,18.75,65.88,7.87
304,Port-Cartier,90,CA,1573863408,100,50.03,-66.88,24.8,5.82
305,Morant Bay,75,JM,1573863408,61,17.88,-76.41,82.4,4.7
306,Agutaya,100,PH,1573863409,79,11.15,120.94,82.11,8.32
307,Kieta,20,PG,1573863409,70,-6.22,155.63,82.65,3.4
308,Bereda,40,ES,1573863409,87,43.27,-7.54,48.2,9.17
309,Banepa,40,NP,1573863409,100,27.63,85.52,53.6,3.36
310,Inta,100,RU,1573863409,96,66.04,60.13,31.8,24.58
311,Arco,63,US,1573863409,44,43.64,-113.3,45.73,9.93
312,Salvacion,40,PH,1573863410,79,14.63,120.99,84.2,1.12
313,Araxa,98,BR,1573863410,100,-19.59,-46.94,68.0,3.36
314,Vardo,5,US,1573863410,79,39.62,-77.74,42.8,5.41
315,The Valley,20,AI,1573863410,74,18.22,-63.06,81.0,4.7
316,Idenao,20,CM,1573863410,94,4.25,9.0,75.2,5.82
317,Fort Nelson,75,CA,1573863410,78,58.81,-122.69,10.4,4.7
318,Mayen,100,DE,1573863410,93,50.33,7.22,39.99,3.36
319,Sept-Iles,90,CA,1573863300,100,50.2,-66.38,24.8,5.82
320,Carbondale,1,US,1573863199,52,38.82,-95.69,50.0,9.17
321,Constitucion,5,MX,1573863411,39,23.99,-104.67,64.4,4.7
322,Am Timan,61,TD,1573863411,27,11.04,20.28,76.77,4.97
323,Maneromango,20,TZ,1573863411,88,-7.2,38.78,80.6,11.41
324,Hobyo,1,SO,1573863340,79,5.35,48.53,77.54,12.93
325,Bouna,47,CI,1573863412,54,9.27,-3.0,80.04,2.64
326,Kavaratti,53,IN,1573863412,74,10.57,72.64,81.54,9.91
327,Oranjemund,71,ZA,1573863412,90,-28.55,16.43,62.13,10.69
328,Brae,4,GB,1573863123,93,60.4,-1.35,41.0,3.36
329,Atbasar,20,KZ,1573863412,80,51.81,68.36,7.52,8.86
330,Tateyama,75,JP,1573863412,76,36.66,137.31,52.0,2.24
331,San Patricio,0,PY,1573863412,55,-26.98,-56.83,65.53,5.68
332,Teahupoo,20,PF,1573863412,66,-17.83,-149.27,84.2,11.41
333,Christiana,0,ZA,1573863413,37,-27.91,25.16,64.83,8.03
334,Jacareacanga,88,BR,1573863413,93,-6.22,-57.76,75.0,2.84
335,Tuatapere,100,NZ,1573863130,90,-46.13,167.69,52.0,3.0
336,Srednekolymsk,100,RU,1573863413,96,67.46,153.71,3.22,4.9
337,Vila Franca do Campo,75,PT,1573863120,63,37.72,-25.43,60.8,5.82
338,Gat,89,SN,1573863413,88,14.69,-16.54,73.4,4.7
339,Sao Felix do Xingu,74,BR,1573863414,73,-6.64,-51.99,77.25,1.32
340,Ullal,75,IN,1573863414,88,12.8,74.85,77.0,4.7
341,Shimodate,20,JP,1573863414,76,36.3,139.98,62.01,2.24
342,Porto Velho,75,BR,1573863118,83,-8.75,-63.87,77.0,2.24
343,Huilong,100,CN,1573863414,70,31.15,106.5,58.06,1.52
344,Qandala,0,SO,1573863414,71,11.47,49.87,75.4,3.22
345,Aguimes,75,ES,1573863414,77,27.91,-15.45,64.4,16.11
346,Neiafu,40,TO,1573863415,69,-18.65,-173.98,80.6,10.29
347,Ponta Delgada,75,PT,1573863415,63,37.73,-25.67,60.8,5.82
348,Port Hardy,90,CA,1573863118,93,50.7,-127.42,50.0,3.36
349,Kaabong,0,UG,1573863415,66,3.51,34.14,68.41,9.62
350,Rolla,1,US,1573863255,35,37.95,-91.77,42.8,3.36
351,Kaz,100,RU,1573863415,97,53.11,87.55,-6.32,1.68
352,Manggar,85,ID,1573863416,65,-2.88,108.27,83.12,5.21
353,Ornskoldsvik,100,SE,1573863416,92,63.29,18.72,19.4,2.42
354,Nanlong,54,CN,1573863416,76,31.35,106.05,56.97,1.39
355,Wakkanai,75,JP,1573863416,58,45.41,141.67,24.8,28.86
356,Taoudenni,60,ML,1573863416,19,22.68,-3.98,73.33,11.16
357,Pacifica,20,US,1573863288,72,37.61,-122.49,69.8,18.34
358,Tarkwa,9,GH,1573863417,95,5.31,-1.99,74.21,1.28
359,Hohhot,33,CN,1573863417,79,40.81,111.65,19.4,6.71
360,Waiouru,74,NZ,1573863417,53,-39.48,175.67,63.28,13.71
361,Puerto El Triunfo,40,SV,1573863417,83,13.27,-88.55,86.0,3.36
362,Kroya,88,ID,1573863417,52,-6.5,108.06,81.37,6.06
363,Cidreira,0,BR,1573863417,79,-30.17,-50.22,68.72,14.72
364,Sehithwa,73,BW,1573863418,13,-20.47,22.7,79.11,6.33
365,Ixtapa,75,MX,1573863418,74,20.71,-105.21,82.4,4.7
366,Kichera,24,RU,1573863418,76,55.93,110.1,-16.01,7.07
367,Meulaboh,93,ID,1573863418,80,4.14,96.13,79.65,7.81
368,Bahia Blanca,52,AR,1573863276,27,-38.72,-62.27,77.5,7.76
369,Royan,90,FR,1573863418,93,45.62,-1.03,46.99,6.93
370,Prince Rupert,75,CA,1573863418,87,54.32,-130.32,50.0,8.05
371,Nehe,0,CN,1573863418,28,48.48,124.88,8.85,9.57
372,Nanakuli,75,US,1573863419,69,21.39,-158.15,86.0,8.05
373,Nabire,76,ID,1573863419,63,-3.36,135.5,85.8,0.83
374,Aklavik,75,CA,1573863343,83,68.22,-135.01,-5.8,4.7
375,Turukhansk,91,RU,1573863419,94,65.8,87.96,-15.95,5.39
376,Sao Jose da Coroa Grande,38,BR,1573863419,79,-8.9,-35.15,78.64,16.28
377,Kishtwar,100,IN,1573863419,90,33.31,75.77,22.89,3.2
378,Mandali,0,IQ,1573863419,22,33.75,45.55,63.1,1.99
379,Saint-Pierre,0,FR,1573863408,94,48.95,4.24,37.99,10.29
380,Shorapani,0,GE,1573863420,50,42.1,43.08,55.4,23.04
381,Fortuna,90,US,1573863420,93,40.6,-124.16,61.0,10.29
382,Dalbandin,0,PK,1573863420,40,28.9,64.41,51.1,4.83
383,Pacific Grove,90,US,1573863179,77,36.62,-121.92,68.0,9.17
384,Kadoma,20,JP,1573863420,71,34.73,135.6,59.0,1.12
385,Lerwick,21,GB,1573863389,93,60.15,-1.15,41.0,3.36
386,Carlisle,3,GB,1573863420,93,54.89,-2.94,42.01,12.75
387,Dargaville,22,NZ,1573863270,58,-35.94,173.86,70.16,11.23
388,Karratha,18,AU,1573863127,58,-20.74,116.85,82.72,4.81
389,Mathbaria,2,BD,1573863421,86,22.29,89.96,66.9,4.03
390,Teya,75,MX,1573863421,83,21.05,-89.07,79.0,9.17
391,Vanimo,79,PG,1573863421,77,-2.67,141.3,81.82,5.37
392,Viedma,79,AR,1573863421,50,-40.81,-62.99,68.31,5.44
393,Inhambane,33,MZ,1573863421,78,-23.87,35.38,72.0,15.86
394,Yar-Sale,100,RU,1573863421,94,66.83,70.83,4.48,21.61
395,Redcliffe,58,AU,1573863422,49,-31.94,115.94,79.0,12.75
396,Endicott,90,US,1573863422,80,42.1,-76.05,37.99,10.29
397,Krasnyy Chikoy,99,RU,1573863422,87,50.36,108.75,3.27,6.02
398,Aykhal,90,RU,1573863422,75,65.95,111.51,-13.0,4.47
399,Bathsheba,20,BB,1573863264,83,13.22,-59.52,78.8,6.93
400,Sorland,79,NO,1573863422,72,67.67,12.69,44.53,25.68
401,Saran,0,KZ,1573863422,83,49.8,72.84,-4.0,6.71
402,Hargeysa,13,SO,1573863423,94,9.56,44.06,61.29,9.91
403,Eyl,0,SO,1573863423,77,7.98,49.82,78.55,20.09
404,Binzhou,53,CN,1573863423,78,37.38,117.96,48.0,4.68
405,Cabedelo,20,BR,1573863423,83,-6.97,-34.84,78.8,6.93
406,Oudtshoorn,3,ZA,1573863423,93,-33.59,22.2,64.4,4.7
407,Sydney,75,AU,1573863134,68,-33.85,151.22,75.0,14.99
408,Acolla,96,PE,1573863423,93,-11.73,-75.55,44.98,5.84
409,Revelstoke,90,CA,1573863424,100,50.99,-118.19,35.6,2.24
410,Moroni,20,GR,1573863424,87,35.09,24.92,61.0,6.93
411,Rosarito,75,CO,1573863424,100,4.91,-75.23,71.6,3.36
412,Olds,75,CA,1573863424,88,51.79,-114.11,46.99,4.7
413,Shuyskoye,100,RU,1573863424,91,59.37,41.03,30.78,3.36
414,Itarema,13,BR,1573863409,81,-2.92,-39.92,76.84,7.99
415,Orativ,0,UA,1573863424,91,49.19,29.53,42.98,6.38
416,Kiunga,86,PG,1573863424,62,-6.12,141.3,88.23,0.43
417,Luanda,75,AO,1573863425,78,-8.83,13.24,80.6,3.36
418,Bontang,64,ID,1573863425,82,0.12,117.47,79.9,5.23
419,Kadyy,100,RU,1573863425,86,57.79,43.19,31.93,6.17
420,Sioux Lookout,40,CA,1573863164,65,50.1,-91.92,15.8,3.36
421,Indiaroba,43,BR,1573863425,84,-11.53,-37.51,75.42,6.4
422,Laguna,40,BZ,1573863424,79,16.17,-88.94,84.2,4.79
423,Oranjestad,20,AW,1573863426,78,12.52,-70.03,82.4,11.41
424,Colac,90,AU,1573863426,76,-38.34,143.59,59.0,1.99
425,Berlevag,75,NO,1573863426,65,70.86,29.09,32.0,4.7
426,Cotonou,20,BJ,1573863426,83,6.37,2.43,82.4,6.93
427,El Tigre,74,VE,1573863426,74,8.89,-64.25,79.25,4.34
428,Davila,20,PH,1573863427,78,18.47,120.58,80.6,17.22
429,Mujiayingzi,0,CN,1573863427,37,42.12,118.78,20.46,0.72
430,Kungurtug,100,RU,1573863427,91,50.6,97.53,-7.8,6.2
431,Aborlan,40,PH,1573863427,78,9.44,118.55,80.6,6.93
432,Samarai,76,PG,1573863135,88,-10.62,150.67,78.73,7.81
433,Atar,84,MR,1573863427,20,20.52,-13.05,75.27,7.61
434,Delmas,20,HT,1573863428,74,18.55,-72.29,82.4,9.17
435,Ilhabela,72,BR,1573863428,84,-23.78,-45.36,71.94,10.33
436,Beloha,94,MG,1573863147,83,-25.17,45.06,72.48,7.63
437,Burnie,14,AU,1573863381,53,-41.05,145.91,57.99,13.0
438,Provideniya,100,RU,1573863428,93,64.42,-173.23,19.83,16.75
439,Warrnambool,100,AU,1573863428,42,-38.38,142.48,57.99,8.01
440,Abbeville,90,FR,1573863429,93,50.11,1.83,39.2,9.17
441,Filingue,54,NE,1573863429,14,14.35,3.32,82.51,5.55
442,Dhidhdhoo,78,MV,1573863429,74,6.88,73.1,82.96,7.29
443,Olhao,3,PT,1573863429,66,37.03,-7.84,51.01,10.29
444,Pisco,90,PE,1573863429,88,-13.71,-76.2,66.2,10.29
445,Celestun,78,MX,1573863429,80,20.87,-90.4,76.96,27.18
446,Bubaque,97,GW,1573863430,73,11.28,-15.83,82.85,12.17
447,Jacmel,20,HT,1573863430,74,18.24,-72.54,82.4,9.17
448,Port Macquarie,75,AU,1573863430,49,-31.43,152.91,80.01,11.41
449,Deputatskiy,77,RU,1573863295,99,69.3,139.9,-9.47,0.49
450,Mozelos,3,PT,1573863430,86,41.0,-8.56,43.0,3.36
451,Ljubinje,40,BA,1573863430,63,42.95,18.09,66.2,13.87
452,Birao,99,CF,1573863423,26,10.3,22.78,76.26,8.57
453,San Andres,100,PH,1573863240,80,13.32,122.68,80.28,5.75
454,Punta Umbria,0,ES,1573863431,61,37.18,-6.97,48.0,1.99
455,Hay River,75,CA,1573863431,78,60.82,-115.79,12.2,12.75
456,Orotukan,100,RU,1573863431,97,62.26,151.67,-1.91,2.8
457,Deder,1,ET,1573863431,59,9.31,41.44,59.16,3.11
458,Saint Pete Beach,90,US,1573863431,82,27.73,-82.74,69.8,6.93
459,Ryotsu,75,JP,1573863431,93,38.08,138.43,51.8,8.05
460,Raahe,90,FI,1573863432,93,64.68,24.47,33.8,5.82
461,Sinnamary,15,GF,1573863407,77,5.38,-52.96,82.83,14.09
462,Lasa,20,CY,1573863404,77,34.92,32.53,68.0,3.36
463,El Campo,1,US,1573863432,54,29.2,-96.27,57.0,3.36
464,Whitehorse,75,CA,1573863432,93,60.72,-135.06,37.4,8.05
465,Daru,100,PG,1573863432,79,-9.07,143.21,83.08,7.11
466,Xining,34,CN,1573863433,43,36.62,101.77,27.3,4.03
467,Peniche,20,PT,1573863332,81,39.36,-9.38,50.0,3.36
468,Rome,75,IT,1573863429,82,41.89,12.48,62.6,9.17
469,Slawno,20,PL,1573863433,93,52.84,16.56,48.0,14.99
470,Ghanzi,58,BW,1573863433,12,-21.7,21.65,74.91,8.43
471,Chippewa Falls,1,US,1573863353,46,44.94,-91.39,30.99,4.7
472,Great Falls,90,US,1573863433,40,47.5,-111.29,55.4,12.75
473,Eydhafushi,78,MV,1573863434,79,5.1,73.07,80.71,9.66
474,Tromso,71,NO,1573863434,86,69.65,18.96,32.0,9.17
475,Lakes Entrance,15,AU,1573863434,42,-37.88,147.99,64.0,1.99
476,Gravdal,100,NO,1573863434,54,59.79,5.78,42.01,5.82
477,Salta,17,AR,1573863212,53,-24.79,-65.41,80.6,6.93
478,Hasaki,20,JP,1573863434,76,35.73,140.83,54.0,2.24
479,Salaberry-de-Valleyfield,40,CA,1573863434,63,45.26,-74.13,28.99,10.29
480,Sibiti,100,CG,1573863435,99,-3.69,13.35,70.02,2.08
481,Darhan,100,MN,1573863435,92,49.49,105.92,8.58,12.82
482,Campeche,40,MX,1573863435,78,19.84,-90.54,78.8,11.41
483,Alyangula,40,AU,1573863435,70,-13.85,136.42,84.2,5.82
484,Olinda,40,AU,1573863435,48,-37.84,145.39,61.0,12.75
485,Puro,100,PH,1573863435,84,13.13,123.76,79.65,4.99
486,Portree,67,GB,1573863281,90,57.41,-6.19,39.0,4.38
487,Galle,98,GN,1573863435,86,10.08,-12.83,72.91,0.87
488,Nyurba,82,RU,1573863436,93,63.29,118.35,-12.23,6.29
489,Grande Prairie,75,CA,1573863309,88,55.17,-118.79,41.0,16.11
490,Nakonde,95,ZM,1573863436,51,-9.33,32.75,67.69,2.68
491,Itambacuri,100,BR,1573863436,97,-18.04,-41.68,67.78,2.64
492,Gisborne,0,NZ,1573863140,37,-38.66,178.02,77.0,11.01
493,Amapa,75,HN,1573863436,95,15.09,-87.97,75.0,5.82
494,La Ronge,90,CA,1573863242,73,55.1,-105.3,23.0,12.75
495,Buraydah,75,SA,1573863437,93,26.33,43.97,62.6,2.24
496,Lamu,2,CN,1573863426,41,35.77,102.37,32.34,4.07
497,Nemuro,40,JP,1573863437,47,43.32,145.57,35.6,17.22
498,Zaranj,63,AF,1573863437,28,30.95,61.86,46.4,13.87
499,Zyryanka,99,RU,1573863437,98,65.73,150.89,-4.43,8.68
500,Inzer,100,RU,1573863437,97,54.22,57.56,23.58,3.09
501,Nellikkuppam,11,IN,1573863438,93,11.78,79.67,74.23,5.68
502,Oxford,75,US,1573863272,93,33.61,-85.83,48.2,1.9
503,Dali,76,CN,1573863438,39,34.79,109.94,50.61,11.95
504,Banda Aceh,54,ID,1573863297,91,5.56,95.32,74.12,4.09
505,Chokurdakh,89,RU,1573863438,97,70.62,147.9,-2.99,4.68
506,Devils Lake,90,US,1573863438,86,48.11,-98.87,30.2,14.99
507,Pereslavl-Zalesskiy,100,RU,1573863438,89,56.74,38.86,32.38,10.89
508,Chitrakonda,0,IN,1573863438,96,18.12,82.08,63.7,1.72
509,Yerbogachen,100,RU,1573863439,94,61.28,108.01,-20.34,3.04
510,La Tuque,35,CA,1573863439,71,47.44,-72.79,8.49,14.36
511,Alfeld,90,DE,1573863439,93,49.43,11.54,43.0,3.36
512,Vostok,97,RU,1573863439,78,46.45,135.83,3.11,19.73
513,Thoen,0,TH,1573863440,97,17.61,99.22,67.66,0.98
514,Kalmar,100,SE,1573863304,93,56.66,16.36,46.99,12.75
515,Lima,90,PE,1573863440,82,-12.06,-77.04,66.2,11.41
516,Geilo,100,NO,1573863440,86,60.53,8.21,24.01,4.07
517,Bam,0,IR,1573863440,27,29.11,58.36,41.5,2.46
518,Ghizela,34,RO,1573863440,93,45.82,21.74,55.0,8.05
519,Tazmalt,20,DZ,1573863147,93,36.39,4.4,46.4,12.75
520,Petropavlovsk-Kamchatskiy,3,RU,1573863440,92,53.05,158.65,23.0,2.24
521,Vestmanna,100,FO,1573863441,69,62.16,-7.17,37.4,12.75
522,Zhigansk,94,RU,1573863441,94,66.77,123.37,-6.39,18.1
523,Nazilli,0,TR,1573863441,65,37.91,28.32,51.64,5.95
524,Port Blair,40,IN,1573863246,100,11.67,92.75,75.2,1.12
525,Muriwai Beach,31,NZ,1573863441,64,-36.82,174.45,72.0,17.22
526,Teknaf,0,BD,1573863441,97,20.86,92.31,67.89,1.66
527,Nakasongola,2,UG,1573863442,85,1.32,32.46,66.47,2.84
528,Puerto Penasco,78,MX,1573863442,79,31.32,-113.53,73.0,1.99
529,Sechura,51,PE,1573863442,86,-5.56,-80.82,66.51,13.85
530,Vao,100,EE,1573863442,93,59.1,26.19,36.97,7.4
531,Chumikan,100,RU,1573863442,89,54.72,135.31,2.97,13.89
532,Sal Rei,75,CV,1573863443,69,16.18,-22.92,75.2,9.17
533,Los Llanos de Aridane,75,ES,1573863443,72,28.66,-17.92,64.4,14.99
534,Maryborough,4,AU,1573863443,33,-25.54,152.7,92.41,3.65
535,Rodez,90,FR,1573863443,100,44.35,2.57,39.99,9.17
536,Wanning,75,AT,1573863243,81,48.64,13.53,51.01,6.93
537,Hastings,22,NZ,1573863152,64,-39.64,176.84,65.07,5.97
538,Moose Factory,1,CA,1573863443,65,51.26,-80.61,8.6,17.22
539,Santiago del Estero,0,AR,1573863443,36,-27.8,-64.26,82.8,11.7
540,Anzio,75,IT,1573863444,82,41.45,12.63,62.6,9.17
541,Half Moon Bay,90,US,1573863399,82,37.46,-122.43,69.8,19.46
542,Arona,90,IT,1573863226,100,45.76,8.56,46.99,5.82
